class,acc,precision,recall,f1
conservative,0.7753623188405797,0.7379310344827587,0.7753623188405797,0.7561837455830389
dressy,0.9850746268656716,0.9777777777777777,0.9850746268656716,0.9814126394052044
ethnic,0.8992248062015504,0.8345323741007195,0.8992248062015504,0.8656716417910448
fairy,0.958041958041958,0.9647887323943662,0.958041958041958,0.9614035087719298
feminine,0.8181818181818182,0.7443609022556391,0.8181818181818182,0.7795275590551181
gal,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
girlish,0.6265060240963856,0.7074829931972789,0.6265060240963856,0.6645367412140575
kireime-casual,0.6962025316455697,0.6918238993710691,0.6962025316455697,0.694006309148265
lolita,0.98125,0.9631901840490797,0.98125,0.9721362229102166
mode,0.7924528301886793,0.8571428571428571,0.7924528301886793,0.8235294117647058
natural,0.8449612403100775,0.7841726618705036,0.8449612403100775,0.8134328358208954
retro,0.7952755905511811,0.7952755905511811,0.7952755905511811,0.7952755905511811
rock,0.8181818181818182,0.8048780487804879,0.8181818181818182,0.8114754098360656
street,0.8701298701298701,0.9571428571428572,0.8701298701298701,0.9115646258503401
