class,acc,precision,recall,f1
conservative,0.8695652173913043,0.7741935483870968,0.8695652173913043,0.8191126279863481
dressy,0.9777777777777777,0.88,0.9777777777777777,0.9263157894736842
ethnic,0.7751937984496124,0.9009009009009009,0.7751937984496124,0.8333333333333334
fairy,0.9370629370629371,0.8701298701298701,0.9370629370629371,0.9023569023569024
feminine,0.8347107438016529,0.7593984962406015,0.8347107438016529,0.7952755905511811
gal,0.8251748251748252,0.8613138686131386,0.8251748251748252,0.8428571428571429
girlish,0.6987951807228916,0.725,0.6987951807228916,0.7116564417177914
kireime-casual,0.6329113924050633,0.746268656716418,0.6329113924050633,0.684931506849315
lolita,0.93125,0.9490445859872612,0.93125,0.9400630914826499
mode,0.8238993710691824,0.8451612903225807,0.8238993710691824,0.8343949044585988
natural,0.8527131782945736,0.8333333333333334,0.8527131782945736,0.842911877394636
retro,0.7559055118110236,0.8807339449541285,0.7559055118110236,0.8135593220338984
rock,0.859504132231405,0.8,0.859504132231405,0.8286852589641435
street,0.9150326797385621,0.8484848484848485,0.9150326797385621,0.8805031446540881
