seed,accuracy,macro_precision,macro_recall,macro_f1,loss
13,0.8350151362260343,0.8356490539901337,0.8370306990087075,0.835140888169221,0.49152204273223354
14,0.8284561049445005,0.8318619370563416,0.8308594261571676,0.8290027302904072,0.5375392885687672
16,0.8370332996972755,0.8413699007176797,0.8391444314345016,0.8381814856354073,0.4783316659851528
17,0.8456104944500504,0.8466042045199247,0.8497990837490409,0.8444726125679767,0.5132347996051267
45,0.8279515640766902,0.8288681478952792,0.8321388247173923,0.828080635722662,0.49925861402868654
48,0.8481331987891019,0.8503638990571998,0.8507464416788755,0.8482480626102591,0.4943191406942479
53,0.8531786074672049,0.8577210674575371,0.8540758620992212,0.8542647113273272,0.5277583972568326
58,0.8188698284561049,0.8255330654526821,0.8202762913104479,0.8197357193946696,0.6293209704147894
72,0.8365287588294652,0.8379147226397775,0.8373040530393742,0.8363708538337015,0.48574091682409565
102,0.8375378405650857,0.8389203137888293,0.8378188962008312,0.8366699792224491,0.5499110858803794
