metric,mean,std,min,max,median,ci_95_lower,ci_95_upper,n,model
accuracy,0.8368314833501515,0.009734370448524841,0.8188698284561049,0.8531786074672049,0.8367810292633704,0.8294912580716642,0.8441717086286387,10,cross_attention
macro_precision,0.8394806312575385,0.009424036141857486,0.8255330654526821,0.8577210674575371,0.8384175182143034,0.8323744143039478,0.8465868482111292,10,cross_attention
macro_recall,0.838919400939556,0.00976682109406658,0.8202762913104479,0.8540758620992212,0.8375614746201027,0.8315547061743188,0.8462840957047931,10,cross_attention
macro_f1,0.8370167678774081,0.009629901386472316,0.8197357193946696,0.8542647113273272,0.8365204165280753,0.8297553177445919,0.8442782180102243,10,cross_attention
