model,Style,F1_Mean,F1_Std,F1_CV%,Precision_Mean,Recall_Mean
cross_attention,conservative,0.7680206951016338,0.0382746350221364,4.98354214492507,0.736656381027663,0.8069554638739025
cross_attention,dressy,0.9549278205903977,0.00813610930609064,0.8520130140370582,0.9549125937633258,0.9560917634051961
cross_attention,ethnic,0.8610167069677852,0.023971059009522632,2.784041101123431,0.8606785551037778,0.865891472868217
cross_attention,fairy,0.9335907557538465,0.008977971000024558,0.9616602290341999,0.9212598899875699,0.9477175602175603
cross_attention,feminine,0.7750071810732002,0.02068663682488835,2.6692187285596876,0.8014063082880561,0.756198347107438
cross_attention,gal,0.8529337198791168,0.017357420282883847,2.0350256858579647,0.8563784684306329,0.851048951048951
cross_attention,girlish,0.6972342016792779,0.026429397512756674,3.7906054305858605,0.739810147312499,0.6626506024096385
cross_attention,kireime-casual,0.717010458043362,0.02367799898604187,3.302322681688126,0.7371732307660384,0.7063291139240506
cross_attention,lolita,0.9516070740677012,0.01193496593389847,1.254190543464725,0.9626336404892465,0.9417885220125786
cross_attention,mode,0.8209450915557406,0.02766288418587454,3.3696387822298446,0.8356743128451642,0.8075471698113208
cross_attention,natural,0.8393717744204878,0.013896669916796299,1.655603671733032,0.8162736122500063,0.8666666666666666
cross_attention,retro,0.8170092255841969,0.02547781165611834,3.1184239857145557,0.8275873644035627,0.8086614173228346
cross_attention,rock,0.8321241510931596,0.02901236232890684,3.4865425178194096,0.8019359869133492,0.8695569706001895
cross_attention,street,0.8974358944738071,0.010599872076162867,1.1811286066708846,0.9003483460246461,0.8977675918852389
