class,acc,precision,recall,f1
conservative,0.5362318840579711,0.27106227106227104,0.5362318840579711,0.3600973236009732
dressy,0.8582089552238806,0.5043859649122807,0.8582089552238806,0.6353591160220995
ethnic,0.15503875968992248,0.2857142857142857,0.15503875968992248,0.20100502512562812
fairy,0.6573426573426573,0.5251396648044693,0.6573426573426573,0.5838509316770186
feminine,0.11570247933884298,0.2222222222222222,0.11570247933884298,0.15217391304347824
gal,0.08391608391608392,0.17647058823529413,0.08391608391608392,0.11374407582938388
girlish,0.024096385542168676,0.19047619047619047,0.024096385542168676,0.0427807486631016
kireime-casual,0.25949367088607594,0.2827586206896552,0.25949367088607594,0.2706270627062707
lolita,0.65,0.47706422018348627,0.65,0.5502645502645502
mode,0.4528301886792453,0.36,0.4528301886792453,0.4011142061281337
natural,0.24806201550387597,0.25,0.24806201550387597,0.2490272373540856
retro,0.1732283464566929,0.3548387096774194,0.1732283464566929,0.2328042328042328
rock,0.5041322314049587,0.3961038961038961,0.5041322314049587,0.44363636363636366
street,0.538961038961039,0.4797687861271676,0.538961038961039,0.5076452599388379
