class,acc,precision,recall,f1
conservative,0.3795620437956204,0.5977011494252874,0.3795620437956204,0.46428571428571425
dressy,0.6444444444444445,0.9666666666666667,0.6444444444444445,0.7733333333333334
ethnic,0.6434108527131783,0.532051282051282,0.6434108527131783,0.5824561403508772
fairy,0.8251748251748252,0.8194444444444444,0.8251748251748252,0.8222996515679443
feminine,0.512396694214876,0.6262626262626263,0.512396694214876,0.5636363636363636
gal,0.5944055944055944,0.46703296703296704,0.5944055944055944,0.5230769230769231
girlish,0.3674698795180723,0.40397350993377484,0.3674698795180723,0.3848580441640379
kireime-casual,0.5506329113924051,0.54375,0.5506329113924051,0.5471698113207547
lolita,0.78125,0.7763975155279503,0.78125,0.778816199376947
mode,0.6037735849056604,0.5748502994011976,0.6037735849056604,0.5889570552147239
natural,0.5813953488372093,0.6097560975609756,0.5813953488372093,0.5952380952380952
retro,0.3700787401574803,0.49473684210526314,0.3700787401574803,0.42342342342342343
rock,0.6776859504132231,0.48520710059171596,0.6776859504132231,0.5655172413793103
street,0.6428571428571429,0.5,0.6428571428571429,0.5625000000000001
