model,Style,F1_Mean,F1_Std,F1_CV%,Precision_Mean,Recall_Mean
gated_fusion,conservative,0.7705792358736713,0.020476914838167402,2.657340593268255,0.7528967538169462,0.7916957579604358
gated_fusion,dressy,0.9653774283968867,0.010433822397253236,1.0808023981438766,0.9659526152698511,0.9650248756218904
gated_fusion,ethnic,0.8622067455556259,0.025889951972226863,3.002754514004965,0.8659395946729939,0.8612403100775193
gated_fusion,fairy,0.9402023658086043,0.012694292801178763,1.3501660134902196,0.9306447846046373,0.9504516317016316
gated_fusion,feminine,0.7922497985422894,0.012680026704794806,1.6005086688725694,0.7796884831164497,0.8099173553719009
gated_fusion,gal,0.8515772174015339,0.01391017297208841,1.6334599714319875,0.8458364986335549,0.8594405594405595
gated_fusion,girlish,0.7020876023686966,0.021292251323061596,3.032705783612472,0.7539540216761182,0.6596385542168675
gated_fusion,kireime-casual,0.7262129964096417,0.020630358479825063,2.840813725700374,0.7354983761186034,0.718987341772152
gated_fusion,lolita,0.9572098586007568,0.009624854403622488,1.0055114160328475,0.9570224164303035,0.9580503144654087
gated_fusion,mode,0.8256795824413998,0.02886391829210819,3.4957771641588002,0.8484997523826475,0.8050314465408805
gated_fusion,natural,0.8351921358018229,0.022322812189992842,2.672775668387001,0.8080383149924554,0.8651162790697674
gated_fusion,retro,0.8222023276702863,0.020443872676552285,2.486477110139068,0.8359459104670041,0.8094488188976378
gated_fusion,rock,0.8298210194969272,0.023386327880762316,2.8182375875390697,0.791614239259768,0.8745156482861403
gated_fusion,street,0.9039079154286183,0.01697129617470692,1.8775470249820094,0.9216990062545716,0.8873482726423904
