seed,accuracy,macro_precision,macro_recall,macro_f1,loss
13,0.8355196770938446,0.837056613763092,0.8382843075575687,0.8355059281573979,0.4575449696109526
14,0.8314833501513622,0.8346236929469455,0.834714058624555,0.8331913556138,0.4695535399077045
16,0.8506559031281534,0.8524437184173872,0.8530406278054591,0.8513267623295631,0.44475706592371345
17,0.8486377396569122,0.8491571768112586,0.8511655410705627,0.8492416423181115,0.44183935149216613
45,0.8360242179616549,0.8364085107583478,0.8395993089520626,0.8358136343215993,0.4587987722950216
48,0.8355196770938446,0.8369552530384071,0.8377382037833826,0.8359557164757073,0.46828613807560027
53,0.8577194752774975,0.8575412000489046,0.8602446742381172,0.8579931463838327,0.41377082470908766
58,0.8335015136226034,0.8345382269352818,0.8354124638640456,0.8335722356588341,0.4728388302469876
72,0.8420787083753785,0.8421563686935855,0.8442826092279849,0.841588010976467,0.4314471611078344
102,0.8435923309788093,0.8428555012267224,0.84545189492282,0.8433160176195171,0.4690495711867815
