seed,loss,accuracy,macro_precision,macro_recall,macro_f1
13,1.024405954163202,0.7704339051463168,0.7900389210718154,0.7687050138883836,0.7745476144408764
14,0.8774628621177404,0.7547931382441978,0.7697276460782028,0.7551501861617257,0.7592884310181096
16,1.0978968184362385,0.772452068617558,0.780985336805504,0.7770505324035814,0.7756102056438221
17,1.0532680567650934,0.7749747729566094,0.7987647642286019,0.772724470242221,0.7760028169224762
45,1.09727794587552,0.7734611503531786,0.7954321608654207,0.7695866714756979,0.7748327153305054
48,0.8555964589961,0.768920282542886,0.7785448298937189,0.7673746385314553,0.7712350692754782
53,1.3971467107820101,0.7749747729566094,0.7857810726791136,0.7733356783409262,0.7769080427985224
58,1.3226902144467674,0.7618567103935419,0.7712463851649518,0.7613119058233703,0.7638683081382817
72,1.0756608300685402,0.7563067608476287,0.7655776844678821,0.7556481695624188,0.7570698227301572
102,1.1958609220959946,0.7628657921291625,0.7742322087526068,0.7618781960457522,0.7642555000881883
