metric,mean,std,min,max,median,ci_95_lower,ci_95_upper,n,model
accuracy,0.8279011099899092,0.005624895310614154,0.8168516649848637,0.8365287588294652,0.8276992936427852,0.8236596442509438,0.8321425757288745,10,cross_attention
macro_precision,0.8300379609858359,0.00519283283979859,0.8199826358923354,0.8372268910944546,0.829501611059377,0.8261222929845812,0.8339536289870907,10,cross_attention
macro_recall,0.8300374476262012,0.0066403695280844955,0.8161458154691665,0.8403795334365556,0.8311518228667583,0.8250302611290068,0.8350446341233957,10,cross_attention
macro_f1,0.8279721348333519,0.005664490405483284,0.8164742371563601,0.8371903833036262,0.8278353664591498,0.8237008123185633,0.8322434573481404,10,cross_attention
