seed,accuracy,macro_precision,macro_recall,macro_f1,loss
13,0.8269424823410696,0.8291355533701971,0.8303095729818256,0.8275537881561131,0.5927358108738768
14,0.8213925327951564,0.8241277454854765,0.8229964974963208,0.8224100192617934,0.6727790097786136
16,0.8299697275479314,0.8292671678687361,0.8319940727516909,0.8292399567627813,0.601152042299368
17,0.8340060544904138,0.8372268910944546,0.8365544045618433,0.8341147854590715,0.5919730404757401
45,0.8279515640766902,0.829736054250018,0.8324309674519651,0.8277631199787315,0.5828741721716811
48,0.8329969727547931,0.8338545245764414,0.8349640532807723,0.8325683524366937,0.6200702985083225
53,0.8365287588294652,0.8370684335271301,0.8403795334365556,0.8371903833036262,0.5111979624653784
58,0.8168516649848637,0.8199826358923354,0.8161458154691665,0.8164742371563601,0.6252028723040598
72,0.8249243188698284,0.8271235660235486,0.8274878171591186,0.8244990928787808,0.5491592977306402
102,0.82744702320888,0.8328570377700222,0.8271117416727538,0.827907612939568,0.6417915366962734
