merge_key,style,rel_path,clip_similarity
dataset/feminine/feminine_566.jpg,feminine,dataset/feminine/feminine_566.jpg,0.30380544
dataset/street/street_159.jpg,street,dataset/street/street_159.jpg,0.3011346
dataset/girlish/girlish_393.jpg,girlish,dataset/girlish/girlish_393.jpg,0.26880616
dataset/conservative/conservative_233.jpg,conservative,dataset/conservative/conservative_233.jpg,0.36251152
dataset/natural/natural_788.jpg,natural,dataset/natural/natural_788.jpg,0.24989778
dataset/girlish/girlish_986.jpg,girlish,dataset/girlish/girlish_986.jpg,0.28473285
dataset/lolita/lolita_754.jpg,lolita,dataset/lolita/lolita_754.jpg,0.38293004
dataset/lolita/lolita_293.jpg,lolita,dataset/lolita/lolita_293.jpg,0.3353684
dataset/conservative/conservative_904.jpg,conservative,dataset/conservative/conservative_904.jpg,0.294833
dataset/dressy/dressy_687.jpg,dressy,dataset/dressy/dressy_687.jpg,0.2913622
dataset/conservative/conservative_562.jpg,conservative,dataset/conservative/conservative_562.jpg,0.3101549
dataset/street/street_436.jpg,street,dataset/street/street_436.jpg,0.25782132
dataset/natural/natural_368.jpg,natural,dataset/natural/natural_368.jpg,0.23929851
dataset/mode/mode_1023.jpg,mode,dataset/mode/mode_1023.jpg,0.29554248
dataset/mode/mode_620.jpg,mode,dataset/mode/mode_620.jpg,0.2511143
dataset/rock/rock_337.jpg,rock,dataset/rock/rock_337.jpg,0.30245626
dataset/fairy/fairy_937.jpg,fairy,dataset/fairy/fairy_937.jpg,0.2693089
dataset/lolita/lolita_686.jpg,lolita,dataset/lolita/lolita_686.jpg,0.341179
dataset/conservative/conservative_126.jpg,conservative,dataset/conservative/conservative_126.jpg,0.32224786
dataset/rock/rock_601.jpg,rock,dataset/rock/rock_601.jpg,0.31057978
dataset/ethnic/ethnic_600.jpg,ethnic,dataset/ethnic/ethnic_600.jpg,0.29149494
dataset/feminine/feminine_470.jpg,feminine,dataset/feminine/feminine_470.jpg,0.32800883
dataset/mode/mode_1004.jpg,mode,dataset/mode/mode_1004.jpg,0.3300856
dataset/natural/natural_648.jpg,natural,dataset/natural/natural_648.jpg,0.23116052
dataset/fairy/fairy_624.jpg,fairy,dataset/fairy/fairy_624.jpg,0.28723735
dataset/fairy/fairy_892.jpg,fairy,dataset/fairy/fairy_892.jpg,0.29266512
dataset/conservative/conservative_121.jpg,conservative,dataset/conservative/conservative_121.jpg,0.35009766
dataset/gal/gal_722.jpg,gal,dataset/gal/gal_722.jpg,0.29557896
dataset/fairy/fairy_663.jpg,fairy,dataset/fairy/fairy_663.jpg,0.34502918
dataset/kireime-casual/kireime-casual_672.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_672.jpg,0.3266737
dataset/dressy/dressy_465.jpg,dressy,dataset/dressy/dressy_465.jpg,0.29246342
dataset/rock/rock_530.jpg,rock,dataset/rock/rock_530.jpg,0.31822565
dataset/kireime-casual/kireime-casual_27.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_27.jpg,0.30268228
dataset/street/street_945.jpg,street,dataset/street/street_945.jpg,0.31342554
dataset/girlish/girlish_890.jpg,girlish,dataset/girlish/girlish_890.jpg,0.28460994
dataset/conservative/conservative_500.jpg,conservative,dataset/conservative/conservative_500.jpg,0.32093558
dataset/ethnic/ethnic_28.jpg,ethnic,dataset/ethnic/ethnic_28.jpg,0.29929975
dataset/girlish/girlish_429.jpg,girlish,dataset/girlish/girlish_429.jpg,0.3124533
dataset/ethnic/ethnic_836.jpg,ethnic,dataset/ethnic/ethnic_836.jpg,0.3011363
dataset/girlish/girlish_606.jpg,girlish,dataset/girlish/girlish_606.jpg,0.2738124
dataset/kireime-casual/kireime-casual_760.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_760.jpg,0.2790467
dataset/lolita/lolita_433.jpg,lolita,dataset/lolita/lolita_433.jpg,0.3384597
dataset/mode/mode_1050.jpg,mode,dataset/mode/mode_1050.jpg,0.29767904
dataset/girlish/girlish_15.jpg,girlish,dataset/girlish/girlish_15.jpg,0.28956985
dataset/mode/mode_102.jpg,mode,dataset/mode/mode_102.jpg,0.25575525
dataset/street/street_116.jpg,street,dataset/street/street_116.jpg,0.23295537
dataset/fairy/fairy_55.jpg,fairy,dataset/fairy/fairy_55.jpg,0.26927087
dataset/feminine/feminine_70.jpg,feminine,dataset/feminine/feminine_70.jpg,0.25307065
dataset/kireime-casual/kireime-casual_203.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_203.jpg,0.28809202
dataset/kireime-casual/kireime-casual_304.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_304.jpg,0.31480122
dataset/ethnic/ethnic_70.jpg,ethnic,dataset/ethnic/ethnic_70.jpg,0.30703712
dataset/girlish/girlish_77.jpg,girlish,dataset/girlish/girlish_77.jpg,0.26897916
dataset/rock/rock_34.jpg,rock,dataset/rock/rock_34.jpg,0.32371902
dataset/natural/natural_485.jpg,natural,dataset/natural/natural_485.jpg,0.29642618
dataset/girlish/girlish_2.jpg,girlish,dataset/girlish/girlish_2.jpg,0.330759
dataset/retro/retro_293.jpg,retro,dataset/retro/retro_293.jpg,0.39073244
dataset/fairy/fairy_748.jpg,fairy,dataset/fairy/fairy_748.jpg,0.316345
dataset/fairy/fairy_871.jpg,fairy,dataset/fairy/fairy_871.jpg,0.2989738
dataset/feminine/feminine_365.jpg,feminine,dataset/feminine/feminine_365.jpg,0.3139909
dataset/lolita/lolita_973.jpg,lolita,dataset/lolita/lolita_973.jpg,0.3353014
dataset/retro/retro_560.jpg,retro,dataset/retro/retro_560.jpg,0.3039326
dataset/conservative/conservative_52.jpg,conservative,dataset/conservative/conservative_52.jpg,0.2914477
dataset/girlish/girlish_1075.jpg,girlish,dataset/girlish/girlish_1075.jpg,0.3501437
dataset/street/street_685.jpg,street,dataset/street/street_685.jpg,0.29915243
dataset/conservative/conservative_423.jpg,conservative,dataset/conservative/conservative_423.jpg,0.30681387
dataset/girlish/girlish_973.jpg,girlish,dataset/girlish/girlish_973.jpg,0.30378127
dataset/retro/retro_148.jpg,retro,dataset/retro/retro_148.jpg,0.334854
dataset/natural/natural_166.jpg,natural,dataset/natural/natural_166.jpg,0.27758554
dataset/natural/natural_45.jpg,natural,dataset/natural/natural_45.jpg,0.2747992
dataset/fairy/fairy_676.jpg,fairy,dataset/fairy/fairy_676.jpg,0.32160166
dataset/fairy/fairy_425.jpg,fairy,dataset/fairy/fairy_425.jpg,0.30222234
dataset/girlish/girlish_337.jpg,girlish,dataset/girlish/girlish_337.jpg,0.26289696
dataset/gal/gal_911.png,gal,dataset/gal/gal_911.png,0.28423414
dataset/conservative/conservative_417.jpeg,conservative,dataset/conservative/conservative_417.jpeg,0.3360451
dataset/mode/mode_515.jpg,mode,dataset/mode/mode_515.jpg,0.3125894
dataset/street/street_325.jpg,street,dataset/street/street_325.jpg,0.30544472
dataset/gal/gal_299.jpg,gal,dataset/gal/gal_299.jpg,0.2984997
dataset/gal/gal_730.jpg,gal,dataset/gal/gal_730.jpg,0.27149162
dataset/mode/mode_241.jpg,mode,dataset/mode/mode_241.jpg,0.23212674
dataset/gal/gal_793.jpg,gal,dataset/gal/gal_793.jpg,0.3307984
dataset/lolita/lolita_456.jpg,lolita,dataset/lolita/lolita_456.jpg,0.29281265
dataset/girlish/girlish_402.jpg,girlish,dataset/girlish/girlish_402.jpg,0.24565902
dataset/lolita/lolita_779.jpg,lolita,dataset/lolita/lolita_779.jpg,0.33502084
dataset/feminine/feminine_537.jpg,feminine,dataset/feminine/feminine_537.jpg,0.28794965
dataset/dressy/dressy_429.jpg,dressy,dataset/dressy/dressy_429.jpg,0.3011017
dataset/rock/rock_556.jpg,rock,dataset/rock/rock_556.jpg,0.2881415
dataset/natural/natural_142.jpg,natural,dataset/natural/natural_142.jpg,0.35334286
dataset/natural/natural_852.jpg,natural,dataset/natural/natural_852.jpg,0.32060456
dataset/street/street_239.jpg,street,dataset/street/street_239.jpg,0.3231269
dataset/mode/mode_669.jpg,mode,dataset/mode/mode_669.jpg,0.31333917
dataset/girlish/girlish_468.jpg,girlish,dataset/girlish/girlish_468.jpg,0.309829
dataset/natural/natural_290.jpg,natural,dataset/natural/natural_290.jpg,0.2919948
dataset/feminine/feminine_473.jpg,feminine,dataset/feminine/feminine_473.jpg,0.34335124
dataset/ethnic/ethnic_534.jpg,ethnic,dataset/ethnic/ethnic_534.jpg,0.28451055
dataset/kireime-casual/kireime-casual_418.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_418.jpg,0.26571727
dataset/ethnic/ethnic_401.jpg,ethnic,dataset/ethnic/ethnic_401.jpg,0.30913663
dataset/gal/gal_372.jpg,gal,dataset/gal/gal_372.jpg,0.30846494
dataset/street/street_598.jpg,street,dataset/street/street_598.jpg,0.32247746
dataset/kireime-casual/kireime-casual_49.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_49.jpg,0.3025583
dataset/feminine/feminine_381.jpg,feminine,dataset/feminine/feminine_381.jpg,0.3110356
dataset/kireime-casual/kireime-casual_701.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_701.jpg,0.27063873
dataset/dressy/dressy_168.jpg,dressy,dataset/dressy/dressy_168.jpg,0.24724685
dataset/feminine/feminine_770.jpg,feminine,dataset/feminine/feminine_770.jpg,0.30500078
dataset/street/street_696.jpg,street,dataset/street/street_696.jpg,0.2858784
dataset/natural/natural_743.jpg,natural,dataset/natural/natural_743.jpg,0.25284332
dataset/gal/gal_669.jpg,gal,dataset/gal/gal_669.jpg,0.33167315
dataset/girlish/girlish_691.png,girlish,dataset/girlish/girlish_691.png,0.28762054
dataset/girlish/girlish_428.png,girlish,dataset/girlish/girlish_428.png,0.31993777
dataset/girlish/girlish_495.jpg,girlish,dataset/girlish/girlish_495.jpg,0.31793997
dataset/girlish/girlish_949.jpg,girlish,dataset/girlish/girlish_949.jpg,0.31403577
dataset/ethnic/ethnic_551.jpg,ethnic,dataset/ethnic/ethnic_551.jpg,0.264169
dataset/kireime-casual/kireime-casual_5.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_5.jpg,0.2957628
dataset/girlish/girlish_1101.png,girlish,dataset/girlish/girlish_1101.png,0.27163103
dataset/kireime-casual/kireime-casual_617.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_617.jpg,0.3321041
dataset/rock/rock_312.jpg,rock,dataset/rock/rock_312.jpg,0.27812788
dataset/retro/retro_389.jpg,retro,dataset/retro/retro_389.jpg,0.33226186
dataset/dressy/dressy_726.jpg,dressy,dataset/dressy/dressy_726.jpg,0.23939174
dataset/mode/mode_902.jpg,mode,dataset/mode/mode_902.jpg,0.30862904
dataset/ethnic/ethnic_554.jpg,ethnic,dataset/ethnic/ethnic_554.jpg,0.37347698
dataset/fairy/fairy_187.jpg,fairy,dataset/fairy/fairy_187.jpg,0.31743112
dataset/kireime-casual/kireime-casual_465.jpeg,kireime-casual,dataset/kireime-casual/kireime-casual_465.jpeg,0.31216225
dataset/gal/gal_652.jpg,gal,dataset/gal/gal_652.jpg,0.30893296
dataset/feminine/feminine_186.jpg,feminine,dataset/feminine/feminine_186.jpg,0.2647755
dataset/retro/retro_556.jpg,retro,dataset/retro/retro_556.jpg,0.26577652
dataset/lolita/lolita_422.jpg,lolita,dataset/lolita/lolita_422.jpg,0.25581002
dataset/girlish/girlish_238.jpg,girlish,dataset/girlish/girlish_238.jpg,0.27489293
dataset/gal/gal_169.jpg,gal,dataset/gal/gal_169.jpg,0.29751366
dataset/natural/natural_302.jpg,natural,dataset/natural/natural_302.jpg,0.3314072
dataset/ethnic/ethnic_742.jpg,ethnic,dataset/ethnic/ethnic_742.jpg,0.3099
dataset/natural/natural_372.jpg,natural,dataset/natural/natural_372.jpg,0.2815123
dataset/retro/retro_163.jpg,retro,dataset/retro/retro_163.jpg,0.30789414
dataset/rock/rock_640.jpg,rock,dataset/rock/rock_640.jpg,0.3334934
dataset/retro/retro_355.jpg,retro,dataset/retro/retro_355.jpg,0.3189974
dataset/fairy/fairy_470.jpg,fairy,dataset/fairy/fairy_470.jpg,0.3154285
dataset/conservative/conservative_462.jpg,conservative,dataset/conservative/conservative_462.jpg,0.3218188
dataset/dressy/dressy_256.jpg,dressy,dataset/dressy/dressy_256.jpg,0.29731944
