seed,clip_similarity_mean,n_test
13,0.30020901560783386,1982
14,0.3002914786338806,1982
16,0.3002568185329437,1982
17,0.2996034026145935,1982
45,0.29994767904281616,1982
48,0.3004331886768341,1982
53,0.3005526065826416,1982
58,0.3012944161891937,1982
72,0.2996871769428253,1982
102,0.3002445101737976,1982
