merge_key,style,rel_path,clip_similarity
dataset/mode/mode_994.jpg,mode,dataset/mode/mode_994.jpg,0.31362703
dataset/lolita/lolita_869.jpg,lolita,dataset/lolita/lolita_869.jpg,0.24134725
dataset/fairy/fairy_610.jpg,fairy,dataset/fairy/fairy_610.jpg,0.3184085
dataset/kireime-casual/kireime-casual_245.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_245.jpg,0.3005178
dataset/feminine/feminine_39.png,feminine,dataset/feminine/feminine_39.png,0.24805173
dataset/girlish/girlish_1047.png,girlish,dataset/girlish/girlish_1047.png,0.2811154
dataset/kireime-casual/kireime-casual_972.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_972.jpg,0.30618507
dataset/street/street_137.jpg,street,dataset/street/street_137.jpg,0.31429446
dataset/street/street_645.jpg,street,dataset/street/street_645.jpg,0.30629453
dataset/fairy/fairy_601.jpg,fairy,dataset/fairy/fairy_601.jpg,0.2904215
dataset/natural/natural_169.jpg,natural,dataset/natural/natural_169.jpg,0.26102415
dataset/dressy/dressy_43.jpg,dressy,dataset/dressy/dressy_43.jpg,0.2667843
dataset/mode/mode_607.jpg,mode,dataset/mode/mode_607.jpg,0.29166418
dataset/girlish/girlish_1103.jpeg,girlish,dataset/girlish/girlish_1103.jpeg,0.27982256
dataset/feminine/feminine_563.jpg,feminine,dataset/feminine/feminine_563.jpg,0.30453968
dataset/girlish/girlish_383.jpg,girlish,dataset/girlish/girlish_383.jpg,0.30813882
dataset/mode/mode_741.jpg,mode,dataset/mode/mode_741.jpg,0.25548226
dataset/street/street_534.jpg,street,dataset/street/street_534.jpg,0.3688558
dataset/fairy/fairy_173.jpg,fairy,dataset/fairy/fairy_173.jpg,0.25330067
dataset/feminine/feminine_568.jpg,feminine,dataset/feminine/feminine_568.jpg,0.28812784
dataset/lolita/lolita_324.jpg,lolita,dataset/lolita/lolita_324.jpg,0.2788124
dataset/lolita/lolita_299.jpg,lolita,dataset/lolita/lolita_299.jpg,0.33613425
dataset/fairy/fairy_210.jpg,fairy,dataset/fairy/fairy_210.jpg,0.33619308
dataset/retro/retro_726.jpeg,retro,dataset/retro/retro_726.jpeg,0.31651384
dataset/conservative/conservative_871.jpg,conservative,dataset/conservative/conservative_871.jpg,0.31081107
dataset/natural/natural_35.jpeg,natural,dataset/natural/natural_35.jpeg,0.30897373
dataset/retro/retro_792.jpg,retro,dataset/retro/retro_792.jpg,0.36369127
dataset/natural/natural_666.jpg,natural,dataset/natural/natural_666.jpg,0.30396187
dataset/feminine/feminine_504.jpg,feminine,dataset/feminine/feminine_504.jpg,0.3131355
dataset/mode/mode_591.jpg,mode,dataset/mode/mode_591.jpg,0.3548244
dataset/dressy/dressy_556.jpg,dressy,dataset/dressy/dressy_556.jpg,0.3360256
dataset/gal/gal_249.jpg,gal,dataset/gal/gal_249.jpg,0.2839901
dataset/dressy/dressy_259.jpg,dressy,dataset/dressy/dressy_259.jpg,0.32453328
dataset/dressy/dressy_104.jpg,dressy,dataset/dressy/dressy_104.jpg,0.29688805
dataset/street/street_635.jpg,street,dataset/street/street_635.jpg,0.32962394
dataset/mode/mode_989.jpg,mode,dataset/mode/mode_989.jpg,0.29553068
dataset/rock/rock_662.jpg,rock,dataset/rock/rock_662.jpg,0.26408225
dataset/lolita/lolita_657.jpg,lolita,dataset/lolita/lolita_657.jpg,0.30932266
dataset/street/street_839.jpg,street,dataset/street/street_839.jpg,0.26806432
dataset/retro/retro_331.jpg,retro,dataset/retro/retro_331.jpg,0.32668748
dataset/kireime-casual/kireime-casual_458.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_458.jpg,0.25843114
dataset/dressy/dressy_288.jpg,dressy,dataset/dressy/dressy_288.jpg,0.29071546
dataset/mode/mode_991.jpg,mode,dataset/mode/mode_991.jpg,0.3033797
dataset/girlish/girlish_228.jpg,girlish,dataset/girlish/girlish_228.jpg,0.2897973
dataset/gal/gal_247.jpg,gal,dataset/gal/gal_247.jpg,0.29388875
dataset/kireime-casual/kireime-casual_879.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_879.jpg,0.3379833
dataset/retro/retro_760.jpg,retro,dataset/retro/retro_760.jpg,0.31994534
dataset/gal/gal_491.jpg,gal,dataset/gal/gal_491.jpg,0.27676648
dataset/dressy/dressy_310.jpg,dressy,dataset/dressy/dressy_310.jpg,0.30474883
dataset/conservative/conservative_381.jpg,conservative,dataset/conservative/conservative_381.jpg,0.3356471
dataset/street/street_757.jpg,street,dataset/street/street_757.jpg,0.3584404
dataset/kireime-casual/kireime-casual_348.jpg,kireime-casual,dataset/kireime-casual/kireime-casual_348.jpg,0.3038494
dataset/street/street_1011.jpg,street,dataset/street/street_1011.jpg,0.27251512
dataset/natural/natural_515.jpg,natural,dataset/natural/natural_515.jpg,0.29977548
dataset/street/street_315.jpg,street,dataset/street/street_315.jpg,0.3813437
dataset/lolita/lolita_167.jpg,lolita,dataset/lolita/lolita_167.jpg,0.29349998
dataset/fairy/fairy_451.jpg,fairy,dataset/fairy/fairy_451.jpg,0.29005733
dataset/natural/natural_839.jpg,natural,dataset/natural/natural_839.jpg,0.25909832
dataset/lolita/lolita_351.jpg,lolita,dataset/lolita/lolita_351.jpg,0.3168137
dataset/fairy/fairy_934.jpg,fairy,dataset/fairy/fairy_934.jpg,0.3130578
dataset/dressy/dressy_837.jpg,dressy,dataset/dressy/dressy_837.jpg,0.2710724
