class,acc,precision,recall,f1
conservative,0.2463768115942029,0.3333333333333333,0.2463768115942029,0.2833333333333333
dressy,0.8283582089552238,0.5441176470588235,0.8283582089552238,0.6568047337278106
ethnic,0.4806201550387597,0.6595744680851063,0.4806201550387597,0.5560538116591929
fairy,0.7083333333333334,0.8031496062992126,0.7083333333333334,0.7527675276752767
feminine,0.45454545454545453,0.4230769230769231,0.45454545454545453,0.4382470119521912
gal,0.5244755244755245,0.46875,0.5244755244755245,0.49504950495049505
girlish,0.3493975903614458,0.36024844720496896,0.3493975903614458,0.3547400611620795
kireime-casual,0.5379746835443038,0.4381443298969072,0.5379746835443038,0.48295454545454547
lolita,0.6375,0.7338129496402878,0.6375,0.6822742474916387
mode,0.5094339622641509,0.574468085106383,0.5094339622641509,0.54
natural,0.5736434108527132,0.6016260162601627,0.5736434108527132,0.5873015873015873
retro,0.4251968503937008,0.5142857142857142,0.4251968503937008,0.4655172413793104
rock,0.6942148760330579,0.4221105527638191,0.6942148760330579,0.525
street,0.45098039215686275,0.6699029126213593,0.45098039215686275,0.5390625
