model,Style,F1_Mean,F1_Std,F1_CV%,Precision_Mean,Recall_Mean
concat_mlp,conservative,0.7602133614930418,0.026789589814158486,3.523956716775451,0.7454492565849834,0.7836877181847032
concat_mlp,dressy,0.9620306679584087,0.01297081489339456,1.348274574335641,0.9556691694203792,0.9687451630735211
concat_mlp,ethnic,0.8465412020232648,0.029319647982291207,3.4634637879663934,0.8679910507452749,0.8310077519379844
concat_mlp,fairy,0.9334692404567594,0.022496605502742573,2.409999658021369,0.9192593009895317,0.9497474747474746
concat_mlp,feminine,0.7739032391317352,0.020821259504659538,2.690421547791882,0.7831264011988041,0.7727272727272727
concat_mlp,gal,0.8467895681428084,0.02130229736657712,2.5156542035936558,0.8609687562767535,0.8356643356643356
concat_mlp,girlish,0.684220015854808,0.03077217323654124,4.49740909699887,0.7051335512430944,0.6716867469879519
concat_mlp,kireime-casual,0.7043110050077619,0.03832354157499509,5.441281096349296,0.7076264664908647,0.7063291139240506
concat_mlp,lolita,0.9546778813415274,0.012575425335224044,1.3172427664871498,0.9606769174711977,0.9493121069182392
concat_mlp,mode,0.8223930544025176,0.023585237429180506,2.867878966501678,0.8370755009665759,0.810691823899371
concat_mlp,natural,0.8328361681716776,0.02725029829187794,3.271987857071629,0.8176031126153289,0.8527131782945736
concat_mlp,retro,0.8149784865454596,0.030135066017333758,3.6976517190129314,0.8401691328381862,0.795275590551181
concat_mlp,rock,0.8315256006984544,0.022727470828743053,2.733225628850479,0.8096606622376484,0.8604525132095923
concat_mlp,street,0.8974458040546558,0.018835115120417835,2.0987468029067466,0.9056318567796089,0.8906120023767083
