seed,accuracy,macro_precision,macro_recall,macro_f1,loss
13,0.8193743693239153,0.8250716810859499,0.8219268138462815,0.8192585165038341,0.564540081347606
14,0.8254288597376388,0.8328529197435417,0.8288971788207925,0.8277487518309367,0.5398833694528059
16,0.8466195761856711,0.8520861947400212,0.8464744517420899,0.8485618373431494,0.48034918404949734
17,0.8446014127144299,0.8455240373751675,0.8480006777994361,0.8450869813574766,0.4901272997362119
45,0.8299697275479314,0.8363789209032549,0.8343805845106224,0.8314856420819099,0.5057387344009834
48,0.8183652875882946,0.8216020292133537,0.818833403780589,0.8184697876242292,0.5142587085433519
53,0.8541876892028254,0.8578724028936626,0.8546711145484073,0.8555424113285596,0.47191555135658564
58,0.8193743693239153,0.8227304166167357,0.8214065947474685,0.8193295340697901,0.5376976984802081
72,0.8355196770938446,0.8354382870878952,0.8368975798604955,0.8343475599969439,0.5019726366005315
102,0.8324924318869829,0.8390439216677261,0.8304064521273603,0.8325513316366574,0.5595186836813134
