class,acc,precision,recall,f1
conservative,0.48905109489051096,0.268,0.48905109489051096,0.34625322997416025
dressy,0.8888888888888888,0.5405405405405406,0.8888888888888888,0.6722689075630253
ethnic,0.14728682170542637,0.3114754098360656,0.14728682170542637,0.2
fairy,0.5734265734265734,0.5815602836879432,0.5734265734265734,0.5774647887323943
feminine,0.12396694214876033,0.17647058823529413,0.12396694214876033,0.14563106796116504
gal,0.13286713286713286,0.2676056338028169,0.13286713286713286,0.17757009345794392
girlish,0.024096385542168676,0.19047619047619047,0.024096385542168676,0.0427807486631016
kireime-casual,0.26582278481012656,0.22580645161290322,0.26582278481012656,0.24418604651162787
lolita,0.5471698113207547,0.6214285714285714,0.5471698113207547,0.5819397993311036
mode,0.5408805031446541,0.35833333333333334,0.5408805031446541,0.431077694235589
natural,0.2868217054263566,0.3217391304347826,0.2868217054263566,0.30327868852459017
retro,0.18110236220472442,0.4107142857142857,0.18110236220472442,0.25136612021857924
rock,0.38524590163934425,0.34814814814814815,0.38524590163934425,0.3657587548638132
street,0.6168831168831169,0.3667953667953668,0.6168831168831169,0.46004842615012104
