class,acc,precision,recall,f1
conservative,0.7608695652173914,0.7553956834532374,0.7608695652173914,0.7581227436823105
dressy,0.9850746268656716,0.9635036496350365,0.9850746268656716,0.9741697416974171
ethnic,0.813953488372093,0.9051724137931034,0.813953488372093,0.8571428571428572
fairy,0.9790209790209791,0.8805031446540881,0.9790209790209791,0.9271523178807948
feminine,0.7933884297520661,0.768,0.7933884297520661,0.7804878048780488
gal,0.7762237762237763,0.9098360655737705,0.7762237762237763,0.8377358490566038
girlish,0.608433734939759,0.696551724137931,0.608433734939759,0.6495176848874599
kireime-casual,0.7784810126582279,0.6307692307692307,0.7784810126582279,0.6968838526912181
lolita,0.91875,0.98,0.91875,0.9483870967741935
mode,0.7861635220125787,0.8741258741258742,0.7861635220125787,0.827814569536424
natural,0.813953488372093,0.860655737704918,0.813953488372093,0.8366533864541832
retro,0.8110236220472441,0.8046875,0.8110236220472441,0.8078431372549021
rock,0.9426229508196722,0.7098765432098766,0.9426229508196722,0.8098591549295775
street,0.8366013071895425,0.920863309352518,0.8366013071895425,0.8767123287671232
