class,acc,precision,recall,f1
conservative,0.6739130434782609,0.6413793103448275,0.6739130434782609,0.6572438162544169
dressy,0.9555555555555556,0.9347826086956522,0.9555555555555556,0.945054945054945
ethnic,0.7209302325581395,0.8230088495575221,0.7209302325581395,0.7685950413223139
fairy,0.9230769230769231,0.9166666666666666,0.9230769230769231,0.9198606271777002
feminine,0.71900826446281,0.7565217391304347,0.71900826446281,0.7372881355932204
gal,0.7692307692307693,0.7638888888888888,0.7692307692307693,0.7665505226480838
girlish,0.6265060240963856,0.5502645502645502,0.6265060240963856,0.5859154929577465
kireime-casual,0.740506329113924,0.612565445026178,0.740506329113924,0.6704871060171919
lolita,0.95625,0.95625,0.95625,0.95625
mode,0.779874213836478,0.779874213836478,0.779874213836478,0.779874213836478
natural,0.6821705426356589,0.8073394495412844,0.6821705426356589,0.7394957983193278
retro,0.7007874015748031,0.6742424242424242,0.7007874015748031,0.6872586872586872
rock,0.743801652892562,0.8181818181818182,0.743801652892562,0.7792207792207793
street,0.7516339869281046,0.8646616541353384,0.7516339869281046,0.8041958041958043
