class,acc,precision,recall,f1
conservative,0.5547445255474452,0.5033112582781457,0.5547445255474452,0.5277777777777777
dressy,0.9185185185185185,0.8551724137931035,0.9185185185185185,0.8857142857142858
ethnic,0.4108527131782946,0.6883116883116883,0.4108527131782946,0.5145631067961166
fairy,0.7972027972027972,0.7307692307692307,0.7972027972027972,0.7625418060200668
feminine,0.6942148760330579,0.56,0.6942148760330579,0.6199261992619928
gal,0.5384615384615384,0.5620437956204379,0.5384615384615384,0.5499999999999999
girlish,0.3674698795180723,0.5648148148148148,0.3674698795180723,0.4452554744525547
kireime-casual,0.5126582278481012,0.48502994011976047,0.5126582278481012,0.4984615384615384
lolita,0.7484276729559748,0.8623188405797102,0.7484276729559748,0.8013468013468014
mode,0.660377358490566,0.6441717791411042,0.660377358490566,0.6521739130434783
natural,0.7829457364341085,0.5976331360946746,0.7829457364341085,0.6778523489932886
retro,0.47244094488188976,0.6593406593406593,0.47244094488188976,0.5504587155963303
rock,0.6967213114754098,0.5629139072847682,0.6967213114754098,0.6227106227106227
street,0.7337662337662337,0.6312849162011173,0.7337662337662337,0.6786786786786787
