class,acc,precision,recall,f1
conservative,0.7898550724637681,0.8014705882352942,0.7898550724637681,0.7956204379562044
dressy,0.9552238805970149,0.9481481481481482,0.9552238805970149,0.9516728624535316
ethnic,0.875968992248062,0.8692307692307693,0.875968992248062,0.8725868725868725
fairy,0.9652777777777778,0.9205298013245033,0.9652777777777778,0.9423728813559322
feminine,0.768595041322314,0.775,0.768595041322314,0.7717842323651453
gal,0.8391608391608392,0.8163265306122449,0.8391608391608392,0.8275862068965517
girlish,0.6987951807228916,0.7483870967741936,0.6987951807228916,0.7227414330218069
kireime-casual,0.7088607594936709,0.7671232876712328,0.7088607594936709,0.736842105263158
lolita,0.9625,0.9333333333333333,0.9625,0.9476923076923076
mode,0.8238993710691824,0.808641975308642,0.8238993710691824,0.8161993769470406
natural,0.8372093023255814,0.8181818181818182,0.8372093023255814,0.8275862068965518
retro,0.8031496062992126,0.8360655737704918,0.8031496062992126,0.8192771084337349
rock,0.8181818181818182,0.7795275590551181,0.8181818181818182,0.7983870967741935
street,0.9019607843137255,0.8961038961038961,0.9019607843137255,0.8990228013029317
