seed,acc_correct_caption,acc_random_caption,accuracy_drop
13,0.795,0.775,0.020000000000000018
14,0.805,0.78,0.025000000000000022
16,0.79,0.735,0.05500000000000005
17,0.795,0.755,0.040000000000000036
45,0.81,0.825,-0.014999999999999902
48,0.77,0.74,0.030000000000000027
53,0.845,0.85,-0.0050000000000000044
58,0.825,0.795,0.029999999999999916
72,0.775,0.745,0.030000000000000027
102,0.775,0.73,0.04500000000000004
