seed,loss,accuracy,macro_precision,macro_recall,macro_f1
13,0.47758876501491404,0.8304742684157417,0.8315675146860652,0.8333716901349135,0.8302837581976571
14,0.48888518320684116,0.8249243188698284,0.8286949490954515,0.8264241209312579,0.8262666419782257
16,0.4420957873330107,0.8562058526740666,0.8571144870283647,0.8574293371851972,0.8568906057688391
17,0.4542488665681795,0.8415741675075681,0.8417661777021738,0.8434614464253859,0.8415568530634108
45,0.46410261201329234,0.8335015136226034,0.8333324113764587,0.8362142342420719,0.834022149132565
48,0.4681962446716551,0.8324924318869829,0.8337831422161434,0.832988323394736,0.8324555784416561
53,0.43786052789625557,0.8486377396569122,0.8488234340769109,0.8502730953234243,0.8487896426242019
58,0.48337754068894295,0.8299697275479314,0.8339126108503955,0.8285100764885458,0.8297748803742421
72,0.44323779188479956,0.8370332996972755,0.8363583217965855,0.8376539976517331,0.8362043330511392
102,0.4812574695145446,0.8385469223007064,0.8370050269821204,0.8391884589982758,0.8378122807104259
