seed,clip_iqa_win_rate,clip_iqa_margin_mean,n_test
13,0.9374369323915237,0.09449963609938905,1982
14,0.9460141271442987,0.09444040966743658,1982
16,0.9238143289606459,0.09430284694393516,1982
17,0.9349142280524723,0.09458545102962451,1982
45,0.9374369323915237,0.09430012626406162,1982
48,0.9334006054490414,0.09353972469972434,1982
53,0.9334006054490414,0.09566581634171194,1982
58,0.9460141271442987,0.09540109366073257,1982
72,0.9490413723511605,0.09373818054855411,1982
102,0.925832492431887,0.094389349184592,1982
