class,acc,precision,recall,f1
conservative,0.6956521739130435,0.7559055118110236,0.6956521739130435,0.7245283018867925
dressy,0.9701492537313433,0.9629629629629629,0.9701492537313433,0.966542750929368
ethnic,0.8914728682170543,0.8333333333333334,0.8914728682170543,0.8614232209737829
fairy,0.9444444444444444,0.951048951048951,0.9444444444444444,0.9477351916376306
feminine,0.7520661157024794,0.8053097345132744,0.7520661157024794,0.7777777777777778
gal,0.8811188811188811,0.84,0.8811188811188811,0.8600682593856654
girlish,0.6506024096385542,0.7397260273972602,0.6506024096385542,0.6923076923076923
kireime-casual,0.759493670886076,0.7100591715976331,0.759493670886076,0.7339449541284403
lolita,1.0,0.9302325581395349,1.0,0.963855421686747
mode,0.7924528301886793,0.8129032258064516,0.7924528301886793,0.802547770700637
natural,0.8837209302325582,0.8085106382978723,0.8837209302325582,0.8444444444444444
retro,0.8188976377952756,0.8666666666666667,0.8188976377952756,0.8421052631578948
rock,0.7851239669421488,0.7723577235772358,0.7851239669421488,0.778688524590164
street,0.9019607843137255,0.92,0.9019607843137255,0.9108910891089109
