class,acc,precision,recall,f1
conservative,0.6086956521739131,0.5490196078431373,0.6086956521739131,0.577319587628866
dressy,0.9407407407407408,0.9477611940298507,0.9407407407407408,0.9442379182156135
ethnic,0.5193798449612403,0.5583333333333333,0.5193798449612403,0.5381526104417671
fairy,0.7202797202797203,0.6959459459459459,0.7202797202797203,0.7079037800687286
feminine,0.49586776859504134,0.5660377358490566,0.49586776859504134,0.5286343612334802
gal,0.43356643356643354,0.62,0.43356643356643354,0.5102880658436215
girlish,0.3373493975903614,0.4375,0.3373493975903614,0.380952380952381
kireime-casual,0.5316455696202531,0.4375,0.5316455696202531,0.4799999999999999
lolita,0.8,0.810126582278481,0.8,0.8050314465408804
mode,0.6729559748427673,0.6331360946745562,0.6729559748427673,0.6524390243902439
natural,0.6821705426356589,0.5986394557823129,0.6821705426356589,0.6376811594202898
retro,0.44881889763779526,0.5181818181818182,0.44881889763779526,0.4810126582278481
rock,0.5537190082644629,0.5583333333333333,0.5537190082644629,0.5560165975103736
street,0.803921568627451,0.6243654822335025,0.803921568627451,0.7028571428571428
