class,acc,precision,recall,f1
conservative,0.6131386861313869,0.6176470588235294,0.6131386861313869,0.6153846153846153
dressy,0.9259259259259259,0.8802816901408451,0.9259259259259259,0.9025270758122744
ethnic,0.5348837209302325,0.6106194690265486,0.5348837209302325,0.5702479338842975
fairy,0.8461538461538461,0.6759776536312849,0.8461538461538461,0.751552795031056
feminine,0.5619834710743802,0.5037037037037037,0.5619834710743802,0.53125
gal,0.5174825174825175,0.6379310344827587,0.5174825174825175,0.5714285714285715
girlish,0.3253012048192771,0.5046728971962616,0.3253012048192771,0.39560439560439564
kireime-casual,0.4177215189873418,0.6346153846153846,0.4177215189873418,0.5038167938931297
lolita,0.84375,0.7758620689655172,0.84375,0.8083832335329341
mode,0.5974842767295597,0.7307692307692307,0.5974842767295597,0.657439446366782
natural,0.7751937984496124,0.5154639175257731,0.7751937984496124,0.6191950464396285
retro,0.4881889763779528,0.5535714285714286,0.4881889763779528,0.5188284518828452
rock,0.6528925619834711,0.5808823529411765,0.6528925619834711,0.614785992217899
street,0.8376623376623377,0.6323529411764706,0.8376623376623377,0.7206703910614526
