class,acc,precision,recall,f1
conservative,0.5036496350364964,0.2827868852459016,0.5036496350364964,0.36220472440944884
dressy,0.8814814814814815,0.497907949790795,0.8814814814814815,0.6363636363636364
ethnic,0.10852713178294573,0.23333333333333334,0.10852713178294573,0.14814814814814814
fairy,0.6573426573426573,0.5164835164835165,0.6573426573426573,0.5784615384615385
feminine,0.1652892561983471,0.20833333333333334,0.1652892561983471,0.18433179723502305
gal,0.04195804195804196,0.2727272727272727,0.04195804195804196,0.07272727272727272
girlish,0.04819277108433735,0.1951219512195122,0.04819277108433735,0.07729468599033816
kireime-casual,0.20253164556962025,0.26229508196721313,0.20253164556962025,0.22857142857142856
lolita,0.66875,0.43673469387755104,0.66875,0.528395061728395
mode,0.44654088050314467,0.3879781420765027,0.44654088050314467,0.4152046783625731
natural,0.3643410852713178,0.2568306010928962,0.3643410852713178,0.30128205128205127
retro,0.12598425196850394,0.37209302325581395,0.12598425196850394,0.18823529411764706
rock,0.35537190082644626,0.4095238095238095,0.35537190082644626,0.3805309734513274
street,0.564935064935065,0.4009216589861751,0.564935064935065,0.46900269541778977
