seed,accuracy,macro_f1,n_test
13,0.27447023208879917,0.21214293968374281,1982
14,0.2734611503531786,0.210963859740601,1982
16,0.2734611503531786,0.21188223781017237,1982
17,0.26387487386478303,0.20684467413442315,1982
45,0.272452068617558,0.21559133800384264,1982
48,0.272452068617558,0.21618700781306247,1982
53,0.2714429868819374,0.2138161928893537,1982
58,0.27093844601412714,0.2091228377282405,1982
72,0.26992936427850656,0.2158434671187309,1982
102,0.272452068617558,0.21025003013846444,1982
