model,Style,F1_Mean,F1_Std,F1_CV%,Precision_Mean,Recall_Mean
cross_attention,conservative,0.7738447781882926,0.023067597821110248,2.9809076020536796,0.7509693394191184,0.8025494551994076
cross_attention,dressy,0.9502824483469743,0.013539923126276068,1.4248314435175455,0.9300391853333168,0.9717302377003868
cross_attention,ethnic,0.8526203391260321,0.020028399141736042,2.349040742127487,0.866154931708623,0.841860465116279
cross_attention,fairy,0.9328274165724538,0.017233585611615705,1.847457022107921,0.9249712446511065,0.9413898601398601
cross_attention,feminine,0.764249369678522,0.022813429305389103,2.9850766268849482,0.7484108822824213,0.7900826446280992
cross_attention,gal,0.8411691684813091,0.014494621214217083,1.7231517460853247,0.8479531464283095,0.8356643356643356
cross_attention,girlish,0.6679223122150328,0.03149491175788539,4.715355540891981,0.721182497160124,0.6277108433734939
cross_attention,kireime-casual,0.7116693138584459,0.013415945603632918,1.8851375691465329,0.710416047581735,0.7151898734177216
cross_attention,lolita,0.9495376500367904,0.009146550545387079,0.9632635993983695,0.9459068031853262,0.9536635220125784
cross_attention,mode,0.8050981376422124,0.03002590428462425,3.7294713378119666,0.8132786106560148,0.80062893081761
cross_attention,natural,0.821300572937903,0.023922319044096394,2.9127361933430813,0.8052272506626948,0.8395348837209301
cross_attention,retro,0.8033325147984158,0.032142935268439275,4.001199338546014,0.8561379002218985,0.7582677165354331
cross_attention,rock,0.8217495588740975,0.02868788605877118,3.4910741051175336,0.7865614598794677,0.8613670234385585
cross_attention,street,0.8960063069104457,0.01362033676966212,1.520116171573271,0.9133221546315472,0.8808844750021221
