class,acc,precision,recall,f1
conservative,0.7608695652173914,0.7142857142857143,0.7608695652173914,0.7368421052631581
dressy,0.9850746268656716,0.9496402877697842,0.9850746268656716,0.9670329670329669
ethnic,0.8914728682170543,0.8333333333333334,0.8914728682170543,0.8614232209737829
fairy,0.951048951048951,0.9006622516556292,0.951048951048951,0.925170068027211
feminine,0.8264462809917356,0.7936507936507936,0.8264462809917356,0.8097165991902834
gal,0.8251748251748252,0.8613138686131386,0.8251748251748252,0.842857142857143
girlish,0.6144578313253012,0.7669172932330827,0.6144578313253012,0.6822742474916388
kireime-casual,0.7531645569620253,0.6538461538461539,0.7531645569620253,0.7000000000000001
lolita,0.925,0.9673202614379085,0.925,0.9456869009584665
mode,0.8050314465408805,0.8152866242038217,0.8050314465408805,0.8101265822784811
natural,0.8217054263565892,0.8412698412698413,0.8217054263565892,0.8313725490196078
retro,0.8031496062992126,0.8869565217391304,0.8031496062992126,0.8429752066115702
rock,0.860655737704918,0.7835820895522388,0.860655737704918,0.8203124999999999
street,0.8627450980392157,0.9166666666666666,0.8627450980392157,0.888888888888889
