seed,loss,accuracy,macro_precision,macro_recall,macro_f1
13,0.9827208519583394,0.7684157416750756,0.7803131733167118,0.771535022563681,0.7701419083047686
14,0.8727172474206757,0.7835519677093845,0.7895961900644114,0.7866566900306747,0.7860248174968604
16,0.747917119312118,0.7880928355196771,0.8064398040938113,0.7894757562104907,0.792451767105267
17,0.8195182511622442,0.7820383451059536,0.7899374182314809,0.7818272965982563,0.7797159870899482
45,0.82732950432149,0.7961654894046418,0.8014050400644622,0.7950759796508573,0.7963195549391192
48,0.9239101040014466,0.7901109989909183,0.7997451334735944,0.78815998902618,0.7901434831635061
53,0.9724527502396754,0.7946518668012109,0.8011299471880012,0.7945163634087826,0.7956361181466136
58,0.8506928922309644,0.7800201816347124,0.7905822018756506,0.7796043684150583,0.781139340416057
72,0.672623533082658,0.7855701311806257,0.7959138801216016,0.7826549985913124,0.7870723848969904
102,0.9834961559168626,0.7734611503531786,0.7767157534103198,0.7759917324062879,0.7722855201850333
112,0.9404660823682603,0.7820383451059536,0.7910410593222457,0.7826472325355367,0.7845965659747615
115,0.9555486963929583,0.7618567103935419,0.7812972368058249,0.7609014631560386,0.7616213720014754
120,0.7737221769559997,0.777497477295661,0.7823491706278077,0.7798610939723869,0.7762594162835471
126,0.9641421323888357,0.7764883955600403,0.7770570737850472,0.777837430891421,0.7754387946913155
141,0.7166540372503994,0.7790110998990918,0.7849592592750783,0.7819093125103557,0.7806383951590691
215,0.9350135659594108,0.7835519677093845,0.7930212169448642,0.7860019204151957,0.7848940190035415
217,0.8177918797184072,0.7996972754793138,0.8094974862877095,0.8020199186803342,0.8005767266066375
259,1.1148783320976434,0.7578203834510595,0.7809606821888359,0.7564873260871584,0.7588336407906332
280,0.7585069782558291,0.7865792129162462,0.7960939215493995,0.7874041463800834,0.7894990151749168
288,0.9902186014216795,0.7674066599394551,0.7839601530500844,0.7646082289711186,0.769480087474941
303,0.9549555242302199,0.7830474268415741,0.7883489951649268,0.7846027424924636,0.7846310575854334
309,1.1724860635703556,0.7901109989909183,0.7985970803263782,0.7911960372844783,0.7930083208947264
328,0.9008875631179386,0.7815338042381433,0.7852816594399284,0.7818480188756454,0.7802818589896986
333,0.7692641147330599,0.777497477295661,0.7926192611333569,0.7755605370364578,0.7787431323966336
347,1.0494896157237763,0.7739656912209889,0.7820553470699753,0.7746418300480029,0.7735464620801509
360,0.8106920201891487,0.7800201816347124,0.7915663193425545,0.7820275514433882,0.7812254727465403
367,0.8522709427339398,0.7719475277497477,0.7868134520825046,0.7752084539089157,0.7743313228070132
378,0.9171654994023436,0.7739656912209889,0.7763989048138734,0.7759558472102638,0.7736773967983084
380,0.8186766017457672,0.7699293642785066,0.7820771331995565,0.7721504267108413,0.7731248389679134
457,0.7754647353462928,0.7674066599394551,0.7772362388902196,0.7672185463939768,0.7687064458203601
