seed,blip_itm_mean,n_test
13,0.922463595867157,1982
14,0.9220222234725952,1982
16,0.9236768484115601,1982
17,0.925404965877533,1982
45,0.9260609745979309,1982
48,0.9221183657646179,1982
53,0.9281004071235657,1982
58,0.9255945682525635,1982
72,0.9201151132583618,1982
102,0.9260729551315308,1982
