merge_key,style,blip_itm_score
dataset/ethnic/ethnic_166.jpg,ethnic,0.99722797
dataset/lolita/lolita_1013.jpg,lolita,0.9984018
dataset/natural/natural_77.jpg,natural,0.28678593
dataset/rock/rock_397.jpg,rock,0.5322615
dataset/dressy/dressy_585.jpg,dressy,0.9793945
dataset/conservative/conservative_18.jpg,conservative,0.98977995
dataset/conservative/conservative_646.jpg,conservative,0.9708845
dataset/conservative/conservative_884.jpg,conservative,0.98806167
dataset/ethnic/ethnic_785.jpg,ethnic,0.9985247
dataset/kireime-casual/kireime-casual_202.jpg,kireime-casual,0.99980575
dataset/rock/rock_490.jpg,rock,0.92966324
dataset/natural/natural_532.jpg,natural,0.9963852
dataset/kireime-casual/kireime-casual_551.jpg,kireime-casual,0.9848321
dataset/conservative/conservative_460.jpg,conservative,0.99805945
dataset/girlish/girlish_381.jpg,girlish,0.9998282
dataset/rock/rock_340.jpg,rock,0.9968612
dataset/street/street_318.jpg,street,0.9997304
dataset/kireime-casual/kireime-casual_1011.jpeg,kireime-casual,0.9876916
dataset/kireime-casual/kireime-casual_701.jpg,kireime-casual,0.99951124
dataset/rock/rock_166.jpg,rock,0.36734343
dataset/feminine/feminine_613.jpg,feminine,0.9979798
dataset/retro/retro_253.jpg,retro,0.99911493
dataset/fairy/fairy_170.jpg,fairy,0.9966466
dataset/lolita/lolita_611.jpg,lolita,0.99618906
dataset/retro/retro_309.jpg,retro,0.99639183
dataset/lolita/lolita_627.jpg,lolita,0.8922468
dataset/retro/retro_613.jpg,retro,0.997101
dataset/girlish/girlish_911.jpg,girlish,0.99751186
dataset/retro/retro_535.jpg,retro,0.99333835
dataset/gal/gal_425.jpg,gal,0.9632959
dataset/dressy/dressy_768.jpg,dressy,0.95280266
dataset/mode/mode_936.jpg,mode,0.9754573
dataset/ethnic/ethnic_762.jpg,ethnic,0.9855209
dataset/kireime-casual/kireime-casual_151.jpg,kireime-casual,0.9983682
dataset/ethnic/ethnic_621.jpeg,ethnic,0.44083124
dataset/fairy/fairy_105.jpg,fairy,0.9997626
dataset/street/street_397.jpg,street,0.98038334
dataset/girlish/girlish_108.jpg,girlish,0.9958501
dataset/retro/retro_357.jpg,retro,0.99742895
dataset/dressy/dressy_210.jpg,dressy,0.9917835
dataset/retro/retro_687.jpg,retro,0.99956816
dataset/kireime-casual/kireime-casual_504.jpg,kireime-casual,0.9995969
dataset/natural/natural_188.jpg,natural,0.9988117
dataset/fairy/fairy_268.jpg,fairy,0.99810046
dataset/conservative/conservative_305.jpg,conservative,0.99889284
dataset/ethnic/ethnic_329.jpg,ethnic,0.9984664
dataset/natural/natural_659.jpg,natural,0.9993069
dataset/gal/gal_386.jpg,gal,0.9988248
dataset/natural/natural_227.jpg,natural,0.9988003
dataset/gal/gal_309.jpg,gal,0.99661237
dataset/ethnic/ethnic_265.jpg,ethnic,0.99444526
dataset/gal/gal_420.jpg,gal,0.9973667
dataset/rock/rock_533.jpg,rock,0.9976265
dataset/lolita/lolita_199.jpg,lolita,0.9761456
dataset/natural/natural_103.jpg,natural,0.9998568
