metric,mean,std
i2t_recall@1,0.2511604439959636,0.007935258628188693
i2t_recall@5,0.49667003027245205,0.012650198945884834
i2t_recall@10,0.6116044399596368,0.010339518470539568
t2i_recall@1,0.2033299697275479,0.007234489739227008
t2i_recall@5,0.4058526740665994,0.01369751797198251
t2i_recall@10,0.5133703329969727,0.01462167791674908
