seed,accuracy,macro_precision,macro_recall,macro_f1,loss
13,0.8400605449041373,0.8434831387561175,0.8444576458935044,0.8402797713511639,0.46971544907470614
14,0.8340060544904138,0.8353972055214222,0.8374806815469531,0.834368970709337,0.4656234150122772
16,0.8486377396569122,0.8535218765202454,0.8503548540319253,0.8507616978123489,0.4400121041166659
17,0.8521695257315842,0.8508406746915975,0.8535614114221032,0.8514962691196823,0.44094347755878593
45,0.8400605449041373,0.8417424673879438,0.842415565752203,0.8413413365131374,0.44279734932795906
48,0.8365287588294652,0.8377908910912895,0.8372062672980337,0.836841772710933,0.45910629650951934
53,0.8486377396569122,0.8479465845466426,0.8529291235092887,0.848578775136878,0.42648486101926575
58,0.8370332996972755,0.8389736178937853,0.8387138365802095,0.8360073177467335,0.45323059747162847
72,0.855196770938446,0.8555898292039902,0.857125205235393,0.8554655498749059,0.4154638959871141
102,0.8319878910191726,0.8355265333282095,0.8330599547886343,0.8326068248594084,0.47068398075101203
