model,Style,F1_Mean,F1_Std,F1_CV%,Precision_Mean,Recall_Mean
blip,conservative,0.8088590764120165,0.02067696213212958,2.5563120616572217,0.7784512697667639,0.8446736485771712
blip,dressy,0.9685850035773649,0.004972647657179628,0.5133930051377718,0.9745614289259367,0.9628081813156439
blip,ethnic,0.8804954021456854,0.017326910499020475,1.967859282035591,0.8856613325855578,0.8782945736434108
blip,fairy,0.9188330687969548,0.017775653497307437,1.93459009051355,0.9121028943313986,0.9260003885003885
blip,feminine,0.7991993678109527,0.01757189796025572,2.1986876701849796,0.7857919638419927,0.8173553719008264
blip,gal,0.8425333914570459,0.01606571070808237,1.9068337078366626,0.8489764728075503,0.8384615384615385
blip,girlish,0.6982282479409123,0.02521339505243965,3.611053423689804,0.7613344456810037,0.6481927710843374
blip,kireime-casual,0.7421264363633371,0.01991091473049672,2.682954514875758,0.7503504867495907,0.7373417721518987
blip,lolita,0.9345589491758183,0.016060766778985,1.718539723272554,0.9339894436882682,0.9355227987421383
blip,mode,0.8526021917910821,0.017305855157124444,2.029769020505286,0.8428418580196217,0.8641509433962264
blip,natural,0.8419965102254923,0.022023603046513407,2.6156406563508603,0.8195199037199095,0.8666666666666666
blip,retro,0.8199341594205825,0.017329003802427127,2.1134628437328313,0.8284484614480107,0.8149606299212598
blip,rock,0.812676857147542,0.02571153350909012,3.1638077647905964,0.7955357419021722,0.8324685002032245
blip,street,0.8782189379035528,0.022172012193366987,2.5246565789500144,0.899572243049963,0.8593285799168152
