seed,loss,accuracy,macro_precision,macro_recall,macro_f1
13,1.9127459754616654,0.549949545913219,0.5670483216725455,0.5494133180357406,0.5437694986320664
14,1.346956627400203,0.5963673057517659,0.6250281585748062,0.596695993133375,0.6000599211343135
16,1.249703346299596,0.694752774974773,0.7182202479754091,0.6928657661562905,0.6969428697167857
17,1.6180473904677044,0.5731584258324924,0.5942864739335931,0.573378611758317,0.5788544723514079
45,1.749624629735225,0.5711402623612513,0.5963953407097016,0.5734243976197719,0.5788717314164629
48,1.6684021962398718,0.557013118062563,0.600928111043438,0.5506610045203184,0.5610109567074462
53,1.7614435736394434,0.5847628657921292,0.5998450357860108,0.5838955723449809,0.5839691425977463
58,1.442914793217098,0.6104944500504541,0.6266527853419139,0.6053120468656531,0.6071828681844474
72,1.3658254102669378,0.6190716448032291,0.6347861575780563,0.6171700034778231,0.6160494841380267
102,1.7116744205521046,0.5277497477295661,0.5390429275452143,0.5300750895391954,0.5256504361491043
