seed,accuracy,macro_precision,macro_recall,macro_f1,loss
13,0.6059535822401615,0.6158680932369354,0.6076463752980825,0.5993419908899894,1.1221418856491836
14,0.6160443995963673,0.618606881533557,0.6189697310911526,0.609322511230118,1.112357518837743
16,0.6321897073662966,0.6362225985963725,0.6349144524508576,0.6276758049181096,1.1057765317251897
17,0.6306760847628657,0.6244346457540818,0.6298717804685419,0.6220322198562467,1.0985451691476655
45,0.6231079717457114,0.6221475269922621,0.6255175628400617,0.6158895921105613,1.0785841182490772
48,0.612008072653885,0.6110628988203806,0.61065079425256,0.6073233380950883,1.1261284080992795
53,0.636226034308779,0.6324536308264224,0.6384116316219888,0.6272224816099915,1.0838460190415262
58,0.6286579212916246,0.6237446000072552,0.6304226026645259,0.6202022973909612,1.0813513021957502
72,0.6150353178607467,0.6159994855547516,0.6150385082068303,0.6067532731574203,1.1025820662287242
102,0.6291624621594349,0.6237819315688456,0.6276888410126134,0.6191382369288329,1.1261071162194947
