model,Style,F1_Mean,F1_Std,F1_CV%,Precision_Mean,Recall_Mean
vilbert,conservative,0.5954862490050559,0.03001113843184809,5.03977018478445,0.5556016573860282,0.6566433936316514
vilbert,dressy,0.915790751670172,0.016179877505721467,1.7667657678583717,0.8967372674581859,0.9360254284134882
vilbert,ethnic,0.5307729562620925,0.02087212965849694,3.9324026238048213,0.6289964055035684,0.4666666666666667
vilbert,fairy,0.7669937227279029,0.02812849586129855,3.667369761678917,0.74535754713332,0.7927738927738928
vilbert,feminine,0.5462592927406289,0.029821540912950164,5.459228119183654,0.5034369440523984,0.6049586776859504
vilbert,gal,0.5399262518527899,0.036468749223303856,6.754394530393572,0.6050087393799048,0.4916083916083916
vilbert,girlish,0.3773547667449007,0.02840268581233615,7.526786015541955,0.49235975384847386,0.30843373493975906
vilbert,kireime-casual,0.5047449158975488,0.04084842791090886,8.092885460425345,0.5047715762269249,0.5126582278481012
vilbert,lolita,0.8072909947649002,0.013384463245301568,1.657947794797265,0.799902416728124,0.8184040880503144
vilbert,mode,0.6355265035244846,0.017303006895719855,2.7226255395740915,0.6544654258366606,0.6201257861635219
vilbert,natural,0.6389146191000069,0.022866186614124494,3.578911161296395,0.5606129933439036,0.7457364341085271
vilbert,retro,0.47822396068659484,0.042363360534500225,8.858477202538822,0.5403883672920176,0.43307086614173224
vilbert,rock,0.5683059430257001,0.04170797436866681,7.339000212915366,0.5635418933182242,0.5775030483674299
vilbert,street,0.7112715166594687,0.021159647134021676,2.9749043281529515,0.6628702225394756,0.770176555470673
