seed,acc_correct_caption,acc_wrong_style_caption,accuracy_drop
13,0.855,0.83,0.025000000000000022
14,0.835,0.785,0.04999999999999993
16,0.835,0.78,0.05499999999999994
17,0.79,0.76,0.030000000000000027
45,0.84,0.825,0.015000000000000013
48,0.79,0.795,-0.0050000000000000044
53,0.835,0.83,0.0050000000000000044
58,0.815,0.785,0.029999999999999916
72,0.815,0.81,0.004999999999999893
102,0.75,0.745,0.0050000000000000044
